game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
2351294,4172,1,,Dino Pagliari,31872,0,,Sauro Trillini,Home,1
2359279,276,3,4.0,Andrea Mandorlini,130,2,13.0,Roberto Donadoni,Home,1
2359323,130,1,11.0,Roberto Donadoni,398,1,8.0,Vladimir Petkovic,Home,0
2359334,410,1,11.0,Francesco Guidolin,430,0,5.0,Vincenzo Montella,Home,1
2359425,430,2,4.0,Vincenzo Montella,800,0,13.0,Stefano Colantuono,Home,1
2359504,46,0,5.0,Walter Mazzarri,410,0,14.0,Francesco Guidolin,Home,0
2359532,410,0,14.0,Francesco Guidolin,506,2,1.0,Antonio Conte,Home,0
2359539,5,3,7.0,Clarence Seedorf,1210,0,19.0,Domenico Di Carlo,Home,1
2359568,6574,4,16.0,Eusebio Di Francesco,252,2,14.0,Gian Piero Gasperini,Home,1
2361150,5587,4,,Piero Braglia,4361,5,,Stefano Sottili,Home,0
2383732,2331,2,,Massimo Rastelli,8970,1,,Roberto Stellone,Home,1
2423328,12,3,,Rudi Garcia,6195,2,,Rafael Benítez,Home,1
2473451,4171,2,,Fabio Brini,38561,0,,Massimo Bagatti,Home,1
2473462,1005,5,,Giacomo Chini,11337,0,,Stefano Petrini,Home,1
2478601,276,2,6.0,Andrea Mandorlini,458,1,13.0,Giuseppe Iachini,Home,1
2478605,6195,0,11.0,Rafael Benítez,862,1,10.0,Eugenio Corini,Home,0
2478611,252,1,10.0,Gian Piero Gasperini,398,0,12.0,Stefano Pioli,Home,1
2478619,749,2,18.0,Maurizio Sarri,5,2,7.0,Filippo Inzaghi,Home,0
2478627,1038,2,5.0,Siniša Mihajlović,862,1,16.0,Eugenio Corini,Home,1
2478642,398,3,8.0,Stefano Pioli,6574,2,19.0,Eusebio Di Francesco,Home,1
2478654,458,2,15.0,Giuseppe Iachini,1429,1,16.0,Pierpaolo Bisoli,Home,1
2478700,252,1,5.0,Gian Piero Gasperini,458,1,13.0,Giuseppe Iachini,Home,0
2478764,12,2,2.0,Rudi Garcia,398,2,3.0,Stefano Pioli,Home,0
2478778,276,1,14.0,Andrea Mandorlini,800,0,15.0,Stefano Colantuono,Home,1
2478822,1390,1,18.0,Gianfranco Zola,46,2,8.0,Roberto Mancini,Home,0
2478853,430,2,6.0,Vincenzo Montella,5,1,11.0,Filippo Inzaghi,Home,1
2478858,6195,1,5.0,Rafael Benítez,800,1,17.0,Edoardo Reja,Home,0
2478896,6574,1,12.0,Eusebio Di Francesco,416,1,7.0,Gian Piero Ventura,Home,0
2478933,130,2,20.0,Roberto Donadoni,6195,2,4.0,Rafael Benítez,Home,0
2478949,1429,0,19.0,Domenico Di Carlo,1390,1,18.0,Gianluca Festa,Home,0
2478955,749,1,15.0,Maurizio Sarri,1038,1,7.0,Siniša Mihajlović,Home,0
2478960,46,4,8.0,Roberto Mancini,749,3,15.0,Maurizio Sarri,Home,1
2599295,2721,2,,Giuseppe Scienza,44884,0,,Mauro Zironelli,Home,1
