game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type
2359334,IT1,2013,13. Matchday,2013-11-24,410,430,1,0,11.0,5.0,Francesco Guidolin,Vincenzo Montella,Dacia Arena,14318.0,Paolo Tagliavento,https://www.transfermarkt.co.uk/udinese-calcio_acf-fiorentina/index/spielbericht/2359334,4-2-3-1,4-3-3 Attacking,Udinese Calcio,Associazione Calcio Fiorentina,1:0,domestic_league
2359425,IT1,2013,23. Matchday,2014-02-08,430,800,2,0,4.0,13.0,Vincenzo Montella,Stefano Colantuono,Artemio Franchi,28319.0,Marco Guida,https://www.transfermarkt.co.uk/acf-fiorentina_atalanta-bc/index/spielbericht/2359425,3-5-2 flat,4-4-1-1,Associazione Calcio Fiorentina,Atalanta Bergamasca Calcio S.p.a.,2:0,domestic_league
2359504,IT1,2013,30. Matchday,2014-03-27,46,410,0,0,5.0,14.0,Walter Mazzarri,Francesco Guidolin,Giuseppe Meazza,36840.0,Andrea Gervasoni,https://www.transfermarkt.co.uk/fc-internazionale_udinese-calcio/index/spielbericht/2359504,3-5-2,3-5-2 flat,Football Club Internazionale Milano S.p.A.,Udinese Calcio,0:0,domestic_league
2359532,IT1,2013,33. Matchday,2014-04-14,410,506,0,2,14.0,1.0,Francesco Guidolin,Antonio Conte,Dacia Arena,22262.0,Nicola Rizzoli,https://www.transfermarkt.co.uk/udinese-calcio_juventus-fc/index/spielbericht/2359532,3-6-1,3-5-2 flat,Udinese Calcio,Juventus Football Club,0:2,domestic_league
2359539,IT1,2013,34. Matchday,2014-04-19,5,1210,3,0,7.0,19.0,Clarence Seedorf,Domenico Di Carlo,Giuseppe Meazza,38903.0,Massimiliano Irrati,https://www.transfermarkt.co.uk/ac-milan_as-livorno/index/spielbericht/2359539,4-2-3-1,3-5-2 flat,Associazione Calcio Milan,US Livorno 1915,3:0,domestic_league
2423328,CIT,2013,Semi-Finals 1st Leg,2014-02-05,12,6195,3,2,,,Rudi Garcia,Rafael Benítez,Olimpico di Roma,30000.0,Mauro Bergonzi,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/2423328,4-3-3 Attacking,4-2-3-1,Associazione Sportiva Roma,Società Sportiva Calcio Napoli,3:2,domestic_cup
2478601,IT1,2014,2. Matchday,2014-09-15,276,458,2,1,6.0,13.0,Andrea Mandorlini,Giuseppe Iachini,Marcantonio Bentegodi,18304.0,Gianluca Rocchi,https://www.transfermarkt.co.uk/hellas-verona_us-palermo/index/spielbericht/2478601,4-3-3 Attacking,3-5-2 flat,Verona Hellas Football Club,Palermo FC,2:1,domestic_league
2478611,IT1,2014,3. Matchday,2014-09-21,252,398,1,0,10.0,12.0,Gian Piero Gasperini,Stefano Pioli,Luigi Ferraris,18279.0,Marco Guida,https://www.transfermarkt.co.uk/genoa-cfc_ss-lazio/index/spielbericht/2478611,4-3-3 Attacking,4-3-3 Attacking,Genoa Cricket and Football Club,Società Sportiva Lazio S.p.A.,1:0,domestic_league
2478654,IT1,2014,7. Matchday,2014-10-19,458,1429,2,1,15.0,16.0,Giuseppe Iachini,Pierpaolo Bisoli,"Comunale Renzo Barbera ""La Favorita""",14780.0,Antonio Damato,https://www.transfermarkt.co.uk/us-palermo_ac-cesena/index/spielbericht/2478654,3-5-2 flat,4-4-1-1,Palermo FC,Cesena FC,2:1,domestic_league
2478700,IT1,2014,12. Matchday,2014-11-24,252,458,1,1,5.0,13.0,Gian Piero Gasperini,Giuseppe Iachini,Luigi Ferraris,18588.0,Michael Fabbri,https://www.transfermarkt.co.uk/genoa-cfc_us-palermo/index/spielbericht/2478700,3-4-3,3-5-2 flat,Genoa Cricket and Football Club,Palermo FC,1:1,domestic_league
