,ID,emb_dim1,emb_dim2,emb_dim3,emb_dim4
10,10,0.035535213,-0.03631969,0.039109584,0.026158119
735,735,0.03761679,-0.049489558,-0.015928628,0.02879331
1161,1161,0.031847615,0.049534213,-0.03363278,0.046602707
2004,2004,0.0012970428,0.058828637,-0.01017823,-0.024359224
2865,2865,0.012962892,0.035223853,-0.022551466,-0.018496206
2904,2904,0.01700982,-0.0010469971,-0.04927009,0.08016141
2926,2926,-0.029706368,-0.07267527,-0.009038552,0.030292125
3159,3159,0.043852936,-0.04854437,0.014041299,0.028752899
3182,3182,0.026079068,-0.0017108888,0.014200202,0.043547157
3366,3366,-0.038463138,-0.05817748,-0.012734951,0.039284036
3417,3417,-0.026775448,-0.0019541243,0.019588005,-0.043279126
3455,3455,0.00043436224,0.050355125,-0.007393717,0.008872316
3507,3507,-0.006912873,0.03906698,0.005294273,-0.02630487
3713,3713,0.0007585137,0.014612143,0.016937349,0.029936746
4257,4257,0.024513347,0.01541273,-0.010483816,0.07492246
4276,4276,0.042782154,-0.0010055412,0.05509176,0.03860896
4672,4672,-0.057985768,0.036297362,0.017667688,-0.026528861
5017,5017,0.0039572585,-0.028599326,-0.013783476,-0.00550507
5023,5023,0.07220384,0.027415035,0.11176086,0.06801661
5169,5169,-0.06625962,-0.00038488882,0.026123798,-0.022855919
5285,5285,0.10155122,-0.007588586,0.062335577,0.0062541272
5422,5422,0.00022635589,0.021440279,0.029314829,0.0009877034
5486,5486,0.051612955,-0.020500679,-0.015421873,0.041966394
5507,5507,-0.011379825,0.022134624,0.041893106,0.018721834
5588,5588,-0.068999596,0.009982224,0.07061595,0.02767106
5668,5668,0.02120915,-0.06781747,-0.016871592,-0.025605468
5755,5755,0.021352418,-0.039014217,0.043930836,0.03082107
5768,5768,0.043859217,0.01700777,0.0038806885,-0.023103723
5793,5793,-0.014344825,0.0242808,-0.015517474,-0.07012369
5817,5817,0.016320202,0.012607032,-0.011274,0.015280207
5818,5818,-0.013989792,-0.00058358454,-0.07584575,0.0008796978
5825,5825,0.010039984,-0.01565516,0.043393776,0.032688305
5852,5852,-0.02019625,0.011645277,-0.026108956,-0.05301201
5856,5856,0.029714184,0.0126614515,0.10055543,-0.061530273
5858,5858,-0.03251522,-0.030496988,-0.04242325,0.03160543
